400000,188524,Writer,Male,University,Single,22,Yes
300000,144478,Shopkeeper,Male,Graduate School,Married,52,No
130000,15594,Doctor,Female,Graduate School,Single,23,No
700000,337942,Writer,Female,University,Single,33,Yes
600000,375374,Engineer,Female,University,Single,35,No
450000,198997,Teacher,Male,University,Single,34,No
150000,63911,Dancer,Male,University,Married,40,No
180000,32723,Teacher,Male,Graduate School,Married,49,No
80000,2206,Singer,Female,University,Married,32,Yes
130000,37797,Dancer,Female,University,Married,33,No
150000,84378,Shopkeeper,Male,Graduate School,Single,37,No
400000,371380,Teacher,Male,Graduate School,Single,29,No
450000,393587,Broker,Female,Graduate School,Single,51,No
600000,203190,Engineer,Male,Graduate School,Single,29,No
350000,212836,Broker,Male,Graduate School,Single,24,Yes
20000,9391,Doctor,Male,Graduate School,Married,49,No
450000,317996,Dealer,Female,Graduate School,Married,49,No
700000,9142,Dancer,Female,Graduate School,Single,29,No
600000,73009,Dancer,Female,Graduate School,Married,40,Yes
550000,112232,Singer,Male,Graduate School,Single,23,No
300000,113239,Teacher,Male,Graduate School,Single,27,Yes
600000,140763,Broker,Male,Graduate School,Single,26,No
150000,99623,Doctor,Female,Graduate School,Single,27,No
100000,24836,Dealer,Male,Graduate School,Single,32,No
110000,25739,Engineer,Male,Graduate School,Married,58,No
200000,78252,Teacher,Male,Graduate School,Single,30,No
350000,152151,Dancer,Male,Graduate School,Single,25,Yes
110000,19464,Engineer,Male,Graduate School,Single,31,No
180000,121008,Singer,Male,Graduate School,Single,33,No
150000,31285,Dancer,Female,Graduate School,Single,25,No
100000,68358,Shopkeeper,Female,Graduate School,Single,30,No
80000,14866,Singer,Male,Graduate School,Single,29,Yes
110000,17833,Teacher,Female,Graduate School,Single,22,Yes
100000,55850,Teacher,Male,Graduate School,Single,24,No
110000,6791,Broker,Female,Graduate School,Single,25,No
350000,45209,Lawyer,Female,Graduate School,Single,29,No
100000,26355,Dealer,Female,Graduate School,Married,45,No
130000,13961,Dancer,Female,Graduate School,Single,34,No
250000,177849,Dealer,Male,Graduate School,Single,29,Yes
40000,24768,Dancer,Male,Graduate School,Married,57,Yes
400000,315514,Dancer,Female,Graduate School,Single,30,No
80000,52921,Engineer,Male,Graduate School,Single,31,No
130000,39995,Doctor,Female,Graduate School,Single,37,No
40000,16286,Engineer,Male,Graduate School,Single,32,No
300000,133641,Dancer,Female,Graduate School,Married,45,No
700000,514490,Teacher,Female,Graduate School,Single,26,No
40000,5003,Shopkeeper,Female,Graduate School,Married,45,Yes
500000,35542,Writer,Female,Graduate School,Married,35,No
60000,33691,Lawyer,Male,Graduate School,Married,53,Yes
60000,20947,Engineer,Female,Graduate School,Single,39,No
700000,455728,Dancer,Female,Graduate School,Single,27,No
450000,196499,Engineer,Male,Graduate School,Married,43,No
700000,454307,Lawyer,Male,Graduate School,Single,27,No
150000,47454,Writer,Male,Graduate School,Single,32,No
400000,113412,Dealer,Female,Graduate School,Single,30,No
200000,17379,Engineer,Male,University,Married,59,No
150000,69960,Dancer,Male,Graduate School,Single,52,No
40000,33568,Dealer,Female,Graduate School,Married,31,No
100000,31954,Dealer,Female,Graduate School,Single,24,No
100000,36878,Dealer,Male,Graduate School,Single,24,Yes
20000,8822,Dealer,Male,Graduate School,Single,28,No
400000,252296,Lawyer,Male,Graduate School,Married,40,Yes
60000,43236,Teacher,Female,Graduate School,Married,48,No
80000,1785,Dealer,Male,Graduate School,Single,27,No
450000,182163,Broker,Male,Graduate School,Married,36,Yes
500000,194038,Broker,Female,Graduate School,Single,23,No
150000,101965,Teacher,Male,Graduate School,Single,41,No
80000,33090,Dancer,Male,Graduate School,Single,27,No
40000,23732,Engineer,Male,Graduate School,Single,24,No
500000,452449,Shopkeeper,Male,Graduate School,Single,47,Yes
60000,36881,Engineer,Male,Graduate School,Single,29,No
700000,508431,Shopkeeper,Male,Graduate School,Single,28,No
110000,78085,Teacher,Male,Graduate School,Single,34,No
300000,118269,Singer,Female,Graduate School,Married,60,No
300000,857,Writer,Male,Graduate School,Single,25,No
250000,39378,Broker,Male,Graduate School,Single,41,No
180000,62494,Doctor,Male,Graduate School,Married,34,No
100000,66913,Lawyer,Female,Graduate School,Single,37,No
700000,489658,Singer,Male,Graduate School,Single,41,No
550000,348625,Engineer,Female,Graduate School,Married,34,No
150000,122136,Shopkeeper,Female,Graduate School,Single,27,No
350000,54623,Dealer,Male,Graduate School,Single,50,No
350000,99554,Shopkeeper,Female,Graduate School,Single,30,No
250000,143545,Singer,Female,Graduate School,Single,24,Yes
350000,39794,Broker,Male,Graduate School,Single,29,No
200000,178110,Shopkeeper,Male,Graduate School,Single,30,No
350000,187426,Lawyer,Male,Graduate School,Single,37,No
110000,62408,Teacher,Female,Graduate School,Married,47,No
300000,91457,Broker,Female,Graduate School,Single,32,No
200000,32049,Writer,Male,Graduate School,Single,32,No
750000,709965,Writer,Female,Graduate School,Single,27,Yes
20000,16227,Singer,Female,Graduate School,Single,29,No
40000,2832,Lawyer,Female,Graduate School,Single,24,No
130000,39124,Teacher,Female,Graduate School,Single,24,Yes
600000,72495,Dealer,Female,Graduate School,Single,22,No
350000,257714,Engineer,Female,Graduate School,Married,34,No
500000,446480,Dealer,Female,Graduate School,Married,38,No
500000,376245,Broker,Male,Graduate School,Single,31,No
60000,46986,Singer,Female,Graduate School,Single,26,No
180000,92500,Teacher,Male,Graduate School,Married,47,No
150000,77161,Dealer,Female,Graduate School,Married,50,No
60000,13775,Shopkeeper,Male,Graduate School,Single,24,No
600000,316980,Dealer,Female,Graduate School,Married,38,Yes
100000,68902,Engineer,Female,Graduate School,Single,38,No
400000,294280,Broker,Female,Graduate School,Married,40,Yes
130000,5788,Dealer,Female,Graduate School,Single,28,No
300000,298297,Dancer,Female,Graduate School,Single,24,No
100000,47882,Broker,Male,Graduate School,Single,35,No
550000,186498,Dealer,Female,Graduate School,Single,31,No
450000,185299,Singer,Female,Graduate School,Single,28,No
200000,20750,Dealer,Male,Graduate School,Single,39,No
200000,189244,Dancer,Female,Graduate School,Single,32,No
110000,69253,Lawyer,Female,Graduate School,Single,40,No
350000,34895,Shopkeeper,Male,Graduate School,Single,25,No
130000,32800,Writer,Female,Graduate School,Single,28,No
200000,168900,Doctor,Male,Graduate School,Married,48,Yes
60000,43038,Dancer,Female,Graduate School,Single,29,No
80000,35430,Teacher,Female,Graduate School,Married,38,No
80000,22889,Engineer,Female,Graduate School,Single,37,No
750000,571960,Dancer,Female,Graduate School,Single,37,No
60000,7057,Dancer,Female,Graduate School,Single,48,No
150000,9378,Lawyer,Male,Graduate School,Married,34,No
600000,256192,Lawyer,Female,Graduate School,Single,58,Yes
300000,150616,Singer,Male,Graduate School,Married,40,Yes
750000,69206,Dealer,Female,Graduate School,Single,26,No
700000,75458,Engineer,Female,Graduate School,Single,27,No
200000,100846,Lawyer,Female,Graduate School,Single,28,No
350000,37683,Dealer,Female,Graduate School,Married,46,No
150000,139313,Lawyer,Male,Graduate School,Single,38,No
60000,18062,Dealer,Male,Graduate School,Single,33,Yes
250000,241305,Singer,Male,Graduate School,Single,29,No
250000,96294,Doctor,Male,Graduate School,Single,31,No
600000,88907,Engineer,Female,Graduate School,Married,36,No
600000,161843,Writer,Male,Graduate School,Single,34,Yes
40000,27590,Writer,Female,Graduate School,Single,36,No
550000,532264,Doctor,Female,Graduate School,Single,25,Yes
700000,258920,Doctor,Female,Graduate School,Single,27,No
100000,53973,Doctor,Female,Graduate School,Single,27,No
350000,296612,Teacher,Male,Graduate School,Single,40,No
150000,49567,Lawyer,Male,Graduate School,Single,27,No
20000,1586,Writer,Female,Graduate School,Single,27,No
750000,370361,Singer,Male,Graduate School,Married,40,No
250000,212091,Broker,Female,Graduate School,Single,28,No
250000,16968,Teacher,Male,Graduate School,Single,27,No
550000,462036,Singer,Female,Graduate School,Single,28,No
600000,303791,Broker,Female,Graduate School,Single,30,No
550000,309132,Teacher,Female,Graduate School,Single,34,No
100000,22829,Dealer,Female,Graduate School,Single,29,No
300000,172091,Writer,Male,Graduate School,Married,39,No
40000,15330,Writer,Female,Graduate School,Single,26,No
20000,18264,Shopkeeper,Female,Graduate School,Single,29,No
100000,46693,Doctor,Male,Graduate School,Single,26,No
150000,92699,Doctor,Male,Graduate School,Married,36,No
250000,133152,Lawyer,Male,Graduate School,Single,30,Yes
300000,25860,Singer,Male,Graduate School,Married,34,No
110000,73433,Singer,Male,Graduate School,Married,40,Yes
750000,559057,Singer,Female,Graduate School,Single,35,No
450000,290091,Doctor,Male,Graduate School,Married,40,No
