400000,188524,Artist,Any,University,Single,1,Yes
400000,358022,Artist,Any,University,Single,1,No
130000,109679,Artist,Any,University,Single,1,Yes
200000,32651,Artist,Any,University,Single,1,Yes
20000,18878,Artist,Any,University,Single,1,No
250000,36269,Artist,Any,University,Single,1,Yes
150000,142481,Artist,Any,University,Single,1,No
200000,186918,Artist,Any,University,Single,1,No
250000,161883,Artist,Any,University,Single,1,No
20000,4053,Artist,Any,University,Single,1,Yes
400000,375064,Artist,Any,University,Single,1,No
110000,48451,Artist,Any,University,Single,1,No
600000,289779,Artist,Any,University,Single,1,No
400000,42183,Artist,Any,University,Single,1,Yes
20000,13596,Artist,Any,University,Single,1,No
350000,178771,Artist,Any,University,Single,1,Yes
600000,436117,Artist,Any,University,Single,1,No
180000,151250,Artist,Any,University,Single,1,Yes
40000,38007,Artist,Any,University,Single,1,No
200000,190022,Artist,Any,University,Single,1,No
550000,198801,Artist,Any,University,Single,1,No
600000,153145,Artist,Any,University,Single,1,No
250000,123654,Artist,Any,University,Single,1,Yes
80000,42464,Artist,Any,University,Single,1,No
20000,2290,Artist,Any,University,Single,1,No
200000,178594,Artist,Any,University,Single,1,No
80000,23832,Artist,Any,University,Single,1,Yes
700000,697477,Artist,Any,University,Single,1,No
100000,72270,Artist,Any,University,Single,1,No
200000,47130,Artist,Any,University,Single,1,No
550000,137533,Artist,Any,University,Single,1,No
100000,4589,Artist,Any,University,Single,1,No
40000,29981,Artist,Any,University,Single,1,No
400000,89834,Artist,Any,University,Single,1,No
80000,48763,Artist,Any,University,Single,1,No
130000,201,Artist,Any,University,Single,1,No
250000,40902,Artist,Any,University,Single,1,No
100000,79605,Artist,Any,University,Single,1,No
80000,49373,Artist,Any,University,Single,1,Yes
130000,10340,Artist,Any,University,Single,1,No
550000,443685,Artist,Any,University,Single,1,No
250000,235329,Artist,Any,University,Single,1,No
60000,42881,Artist,Any,University,Single,1,Yes
200000,120027,Artist,Any,University,Single,1,No
200000,140847,Artist,Any,University,Single,1,No
130000,68199,Artist,Any,University,Single,1,No
600000,552644,Artist,Any,University,Single,1,No
130000,104056,Artist,Any,University,Single,1,No
350000,112569,Artist,Any,University,Single,1,No
600000,387139,Artist,Any,University,Single,1,No
